#Gene	log2(fold-change)array	q-value_array	log2(fold-change)RNA_seq	q-value_RNA_seq
HAP1	0.052210695657893	0.305014914340805	0.508464	0.876643
EPHB2	0.232144358000397	0.0075037810387201	-0.838338	0.529355
LPHN2	-0.262522637560373	0.138857072374682	-1.66146	0.246329
PPARGC1B	0.116881869194677	0.276887337149893	1.14589	0.526526
ACTG1	-0.412573676737618	0.118913260797516	-0.238628	0.878075
CENPT	0.131844677531107	0.127095638599866	0.322068	0.876643
RNF123	-0.264291894177576	0.0158575598724963	-0.12896	0.960648
COL27A1	0.311852622589624	0.122219129807835	1.60631	0.403332
ZP2	0.106847750998609	0.275960589121631	0.508464	0.901274
ZFP42	0.251497681329925	0.16023992083474	-0.661461	0.866438
KDSR	-0.0668110185147009	0.302557553451797	0.46407	0.815411
CCDC78	0.121943923937874	0.275764421545651	-1.66146	0.355513
MCM8	0.513545659693156	0.0706090637579564	0.129953	0.949429
PLAUR	0.501929543065636	0.00796319419804392	-0.00343468	0.991609
MUM1	-0.475378401570727	0.00358628532028779	0.352345	0.876248
ZUFSP	-0.11460780997402	0.197643003491312	-1.24642	0.551389
BHLHE41	-1.93744490688531	0.00213215493443695	-1.52396	0.418608
LACTB	-0.0825268639103522	0.259148173562301	0.338433	0.953395
MID2	0.270323297648666	0.203309990855702	inf	0.355513
SYT16	0.0933989410901957	0.358879435722132	inf	0.402208
CCDC148	0.236196039765855	0.194758683750312	-0.661463	0.812162
RBM28	-0.493868977269506	0.0238276707055407	-0.527482	0.733086
SRRM2	-0.182100832244352	0.145240644995579	0.14056	0.934841
C2orf40	0.224592713058654	0.211345553832466	-0.0764981	0.942036
MEP1B	0.086502753892098	0.293217048425398	inf	0.473985
PCSK7	0.209632536743539	0.0732033081799566	-0.0024977	0.978717
HNRNPA1	0.202196696861563	0.182595825200186	0.154606	0.929637
BCAS3	-0.938062182689805	0.00511575259028749	-0.591067	0.684155
GIGYF1	-0.22901102347733	0.178145511203701	-0.285952	0.888918
HGS	-0.235226069508239	0.0143881248466275	-0.59733	0.834339
TMC7	0.087653196146117	0.231515115728741	-0.33957	0.926251
POLA2	0.906119183586007	0.0060458732023483	1.59335	0.418608
KCNJ8	0.105625520638326	0.30214058461502	inf	0.526526
NOL10	-0.51413991351729	0.105638830793327	-0.820659	0.634441
HSD17B6	0.19434377051381	0.277457550443362	-inf	0.466607
EDEM3	0.74597515597517	0.08392778776882	1.18224	0.430114
TCOF1	0.119985709384761	0.103206623307846	-0.322255	0.868916
SF3B3	-0.224261311337013	0.118568663492939	-0.975001	0.419517
RANBP9	1.10470303350828	0.00964940557565293	1.47604	0.526526
CPNE7	0.135865862373566	0.275366025596526	-0.53593	0.795272
EVL	0.2786389848715	0.125641573706392	0.712	0.552064
NUDT21	1.04729960051228	0.0177555907825777	0.785118	0.641932
LNX1	0.22071760942292	0.0884481839225729	0.753577	0.863591
MYBPC2	0.278004909725477	0.219791555403022	inf	0.418608
ENPP3	0.109756540512866	0.235002221217599	-inf	0.134665
ZNF235	-0.0797305491671918	0.211893990786681	-0.0764942	0.964056
ERC1	-0.332383134835048	0.0708341014840135	-0.0634424	0.968511
NKIRAS2	-0.713061535163592	0.0019827276668513	-0.682219	0.846874
TRMT5	-0.138225899992638	0.290196598302041	-0.764592	0.817822
TRMT61A	-0.0222939098546521	0.366975687883485	-1.29889	0.526526
PPP1R7	-0.439191706693637	0.0261217476870911	0.00639773	0.993556
SCO1	-0.463286618331699	0.0023419013977033	-0.328037	0.890936
HTRA4	0.22957432534905	0.256742584132505	-1.0765	0.795761
KAT2B	0.71788144839936	0.042292147401363	1.80614	0.387964
COMT	-0.205145180684787	0.0134878930821804	-0.220091	0.899898
KCP	0.0054277428105262	0.414667240964462	-inf	0.367571
PDLIM5	-0.599247197411445	0.0285244197837975	-1.32926	0.396304
SPHK2	0.156107303320354	0.251817899551794	-0.339542	0.912227
THNSL2	0.143671703467618	0.292848777997304	inf	0.0525412
GPR108	-0.0374497074459591	0.283543017408729	0.435457	0.862102
C1QTNF1	0.179678228411959	0.0832607575058432	0.557374	0.723817
TRADD	-0.130214306906527	0.268518261590838	-1.81346	0.589999
C1orf43	-0.466426473399067	0.0740526107918043	-0.076501	0.964399
LETMD1	-0.0193466835885878	0.356516775493889	-0.491536	0.678021
TMEM54	0.285930618447772	0.0544210626241971	-0.0764981	0.955528
STT3B	2.28351885388864	0.00283053832989982	2.67702	0.0246733
PHF23	0.060466619008806	0.0218180309333759	-0.0764981	0.960209
CD3EAP	-0.114804713175956	0.242117375031362	-1.07649	0.869749
B3GNT2	-0.696803159651482	0.0217999799454265	-0.661461	0.822696
TMEM63A	-0.110604471273636	0.024552545111823	0.223062	0.941676
DUSP13	0.174091486229454	0.244118935025946	-inf	0.00505161
FNBP1	0.0208574979064642	0.247218934265994	-0.289043	0.876643
FANCG	0.296652379099345	0.0145910968432005	1.04903	0.526526
ZNF471	0.241821612613489	0.188076038916055	-inf	0.355513
DCAF17	-0.471734634511578	0.0575235353234778	-1.0025	0.624442
ZNF224	0.0958891882418274	0.290794837629868	inf	0.244433
CKAP4	0.586426318096033	0.0046520390766282	0.295472	0.867375
PITPNM1	0.50782287724769	0.0114137078562371	0.987632	0.479823
ZNF652	0.169107981502788	0.190782781577811	0.499694	0.767745
TRIM68	-0.510094232013831	0.0392592039835232	0.286072	0.908271
MCTP1	0.343359088289558	0.114369540430684	1.67558	0.313122
UCK2	-0.491134749770314	0.0326709091474735	-1.46554	0.526526
ABHD1	0.395286435946873	0.131870468080751	0.125125	0.96417
SCN3B	0.227641300513084	0.20968644515943	-inf	0.27831
FAM50A	0.302216142905249	0.0166226210971707	1.23093	0.418608
OAT	-1.2349161206357	0.011434978326314	-1.25484	0.418608
WLS	-0.0146040397973819	0.349298994460139	0.0585819	0.969
AGPAT9	0.901552274939385	0.00779434277563415	1.59593	0.306447
IQGAP2	0.182108399577035	0.139242433831357	1.50844	0.63994
ACTR3C	-0.00441086961557872	0.398417785535855	1.9235	0.48436
CDYL	0.000499447387994441	0.416260563295996	0.37988	0.84053
RBP5	0.173783124365868	0.2633461638404	0.338539	0.916352
ANKS1A	0.343645634426844	0.00944168079544281	1.18654	0.526526
CLPB	0.0747344165753819	0.207458552692801	0.0796211	0.9599
SMNDC1	-0.180050747106113	0.0916783589850131	-0.792705	0.580478
COBLL1	0.123582678308611	0.11999386789938	1.73086	0.418608
SLC30A9	-0.55874598870521	0.0884612617691057	-0.467519	0.75977
E2F8	1.11085474024157	0.00785943314939948	1.09343	0.589018
CCDC25	-0.347152556462533	0.0973078063304572	-0.239227	0.909506
PRCP	-0.502427036236611	0.0573920936249237	-0.38462	0.837963
TMEM130	0.213594159201172	0.241214561217057	2.9235	0.418608
YIF1B	0.221487675953199	0.255156952122269	0.286072	0.876643
C17orf97	0.423469866281296	0.0234209408711447	1.9235	0.418608
NDUFB1	0.0662646401919351	0.266410913202203	0.790235	0.665035
NBN	0.079649036067381	0.37074994277197	-0.828579	0.822314
ZSCAN18	0.188333289134812	0.300073262124606	-inf	0.00505161
TAF5L	0.172756105651937	0.0868355538053523	0.205902	0.919275
RGMB	0.40303788884977	0.0106095346783082	-0.13539	0.952935
CCDC59	-0.45817107547241	0.112600995537102	-0.661461	0.71537
RAC1	0.0214640782380517	0.388498592738749	-0.121486	0.9431
MOB2	0.116340917753158	0.33698267138487	1.7715	0.418608
MED20	-0.924699879901474	0.00157610090283378	-1.0765	0.526526
NFE2	-0.967016702660858	0.0274767824936646	-2.0765	0.737398
FBXL12	-0.104136214700781	0.155555246610338	-0.246423	0.918004
TOMM20	-0.878071905477549	0.0300578595259045	-0.206755	0.904707
ARSF	0.269306228790574	0.187741076547965	inf	0.418608
MAST2	0.70202254600945	0.00219095942755537	0.679576	0.616144
GTF2A1	1.43289606291061	0.0129314521982509	1.19359	0.418608
COL22A1	0.239647093677238	0.264351612378019	inf	0.418608
AGFG1	-0.11203276518015	0.26121407478044	-0.197804	0.908572
TBC1D14	0.0605347003719967	0.234862779351298	-0.183423	0.960648
ATP1A3	0.0052168034739661	0.413078034611297	0.508464	0.852615
MRPS35	-0.695421797503913	0.0635745790860577	-0.642095	0.712413
MATR3	-0.207319885409724	0.194010806447031	0.189358	0.908271
CA13	0.445967555951077	0.0416204718200627	0.338539	0.904665
MSC	-0.607049813560253	0.00327404165876473	-0.786992	0.776114
PROZ	0.0815049376892755	0.359230399954697	inf	0.421225
ATXN7L2	-0.022478130593198	0.349053301753923	-0.339533	0.900074
SEC23B	0.148868277094795	0.185311003218761	-0.226245	0.904665
AASDH	0.0546669523929552	0.354566661308753	0.00150437	0.977194
C19orf40	0.27608460012066	0.0559218203439219	0.116147	0.955528
SLC6A4	0.0484250591188963	0.371985784557505	inf	0.311002
SPTLC1	0.152408987696838	0.271904917819948	-0.950967	0.526526
HMGB3	0.585404264757261	0.0073935638252485	1.8621	0.361832
TOPBP1	0.222949242453628	0.246055929167881	0.0610054	0.965198
MID1IP1	-0.0435607720186412	0.302181289513674	0.318361	0.876485
KLF11	-0.384322577660502	0.0772867022091162	-0.0764981	0.96169
C9orf85	-0.0750725481810138	0.323024871879189	-0.912999	0.533736
KLHDC4	0.100650113123612	0.239924452063973	-0.607013	0.554244
ODF3	0.191565734114542	0.234009735046351	inf	0.418608
PHLDA3	-0.562201957920941	0.00780126685126441	-1.3877	0.418608
DOCK2	0.210373422538339	0.114061397408495	1.06101	0.571463
NUP214	-0.225889561256448	0.0816015990049993	0.15957	0.927156
GOLM1	-0.10312876236794	0.149309578172259	-0.0881799	0.953589
DPYSL2	0.00603606298273925	0.40774823695134	0.687529	0.57181
SOX13	0.260815399905325	0.161304022383032	0.223062	0.918004
IFT46	-0.202631481396569	0.134743194530409	-1.12736	0.640121
EXOC5	-0.34787628089322	0.0728341304066965	-0.179184	0.936198
C22orf46	0.0290434961448191	0.374052795433758	0.426002	0.925431
GK	0.581824101041309	0.0882184424549875	1.50846	0.418608
DNAJB1	0.271789719932138	0.0325158557167959	0.790206	0.795761
CHID1	-0.00929877690216664	0.36040123215107	0.793441	0.526526
IKZF5	0.238332267383182	0.183346134328167	-0.0764981	0.968511
PTPDC1	-0.166798328731388	0.17053928250678	0.797978	0.749643
GIMAP8	0.156647115327266	0.280010133224731	inf	0.418608
DUSP7	0.696824114337307	0.00217171608509828	1.50846	0.528533
C6orf223	0.234761958944853	0.230868886313514	inf	0.418608
VSTM2L	0.280072396584114	0.20744932838905	inf	0.355513
NRP1	0.0158613910479067	0.391587363393419	0.013231	0.986394
NR2F1	-1.9499360607289	0.000841355485083547	-0.629039	0.793272
ACAD8	-0.112681934904312	0.00725420807663636	-0.00610881	0.978023
NLRP3	0.467000147593595	0.0225486820575971	inf	0.0803009
GPR3	-0.292949951461618	0.141214653009403	-2.53593	0.517037
RAB8B	1.51121714902446	0.0178007794765943	1.2623	0.418608
UBE2E3	0.383005514777662	0.170702652402815	-0.00398585	0.993118
MED29	0.164134407973414	0.109911043580781	0.111947	0.949849
FBP2	0.0956406789925898	0.324518919068709	-inf	0.418608
CCDC50	-0.549375327299816	0.0150521118705073	-0.589146	0.697985
GNAI2	-0.203087455203666	0.00731708410402206	0.26815	0.869575
METTL8	-0.261552319328318	0.193244589465281	-0.339526	0.87486
CAMK1	-0.549247626182184	0.0253821748208157	-0.0765014	0.969839
FBXO8	-0.239505247165963	0.0977241615875052	-0.969571	0.737814
RFC3	0.447832574604834	0.0687973441503862	-0.0024979	0.977849
PRDX6	-0.0986645685752685	0.314320043424175	-0.224597	0.902803
FAM129A	0.217285975155907	0.134943010015578	-0.465773	0.771797
ILF2	0.0622557583233556	0.239838389481167	-0.406554	0.790405
SMPD4	0.427965583117509	0.0304720106555236	0.354137	0.876643
AKAP7	-0.038047064467462	0.292325357457829	1.50846	0.444405
ZNF506	0.0140812161812735	0.394056359770071	0.0934269	0.96352
AIDA	0.23086181681851	0.187656728195583	3.608	0.19511
PSMA3	-0.385563622487995	0.155463089436979	-1.01007	0.603161
FARSB	-0.184590028877396	0.265819172190203	-0.290623	0.876643
ASCC3	-1.05621426169481	0.0195607625153451	-0.432642	0.796524
ZYG11A	0.146628792990307	0.290920323506771	inf	0.286581
MARCH10	0.097368531183584	0.277465556995519	inf	0.0980974
ACYP2	-0.507722182861034	0.0246348031941148	-1.66139	0.588008
SOX21	0.202558511706641	0.219964325310063	-inf	0.418608
LYRM1	0.977237868594531	0.0175954422878583	2.59592	0.298861
CLDN4	0.24502288151822	0.0810860766830698	-0.45501	0.860884
GRM8	0.221306812141049	0.191250223450999	inf	0.00505161
DNAJC22	-0.211355026308133	0.182324199875921	-1.0765	0.526526
RNF141	-0.645444442545184	0.0594668709676455	-0.790194	0.551909
GRK6	0.0546890809410611	0.316421553277355	0.104076	0.962009
TMEM18	0.253469878460832	0.0425265096810311	1.50847	0.418608
ARHGAP30	0.272479565620793	0.18318366420253	-inf	0.263355
TMEM86A	-0.116749399837058	0.254435438975577	0.623942	0.798112
VPS26A	-0.846554962189898	0.0606157788388086	-0.591071	0.660482
PIGZ	-0.0698903835396617	0.338395118586141	1.50846	0.692638
LYSMD4	0.0860786268641158	0.324744840202817	1.24551	0.534062
EPHA2	0.336787099153412	0.00381074973283131	-0.890085	0.546896
CRLS1	-0.1282623071021	0.132525822764272	0.418267	0.833628
TCHH	0.185289766342594	0.251590509694297	-0.0764981	0.901631
ANKRD26P1	0.103925684599369	0.197257033250608	-inf	0.26212
CYP2U1	-0.218606200310545	0.0786193752052741	0.601569	0.860884
PAIP2	-1.27996608735665	0.00912541480551064	-0.976962	0.60325
ZCWPW1	0.220445958448038	0.11999386789938	-inf	0.325297
SAMD12	-0.128949761507945	0.0570279830197158	0.338539	0.897252
SNRNP70	-0.0725891709043099	0.10287198114637	-0.147465	0.935734
ACAT1	-0.415448105321536	0.0181823683677916	-0.870047	0.748138
MTHFR	-0.355472159049937	0.0765214720409986	-1.0025	0.683929
MEOX1	0.220077170288901	0.298767504614504	-inf	0.226521
DACH1	0.178541092251138	0.217116329757694	-0.0764893	0.943122
CSGALNACT2	0.230810666003932	0.261009542268567	0.711998	0.699546
TRIM60	0.341008455830933	0.124257177624874	-inf	0.317685
PLK3	0.00342642002848105	0.397294260188139	0.660467	0.772646
KDM5C	0.207258306035311	0.0720119053801239	0.354552	0.833006
PHKA2	-0.365780307890313	0.0123940301728982	0.295471	0.889162
RSL24D1	-0.282791886629023	0.0772867022091162	-0.376058	0.851474
TSSC1	0.193064788539987	0.0397043204013316	0.965324	0.526526
TMEM45A	0.258315424343767	0.185311003218761	1.60157	0.418608
MPP7	0.137435709808575	0.282917320397945	-inf	0.0535299
FAM150B	0.211559839761535	0.312148543452523	-inf	0.173469
ATP5I	-0.0971268867691445	0.00614653511904341	0.345735	0.873553
MRPS34	-0.150344082320886	0.0126200851273797	-0.112122	0.946463
POU1F1	0.0610638473445175	0.364959052598906	-inf	0.0350784
SLC2A13	-0.278595965973868	0.105359359934851	-0.883856	0.645648
FBN2	0.0731875088621771	0.276361626617702	-0.190144	0.92387
DAP3	-0.44677374634837	0.0473939829379331	0.113724	0.946463
ZC3H7A	0.299064762779684	0.164849221651028	0.382933	0.829219
ST3GAL1	-0.109552773238321	0.127124198604359	0.157242	0.925431
PHF3	-0.614458653588601	0.058290798356684	-0.303909	0.864077
RASL10B	0.290317544603243	0.233452873864912	2.24532	0.68726
DVL2	-0.544015763032856	0.0135689463285804	0.0345332	0.980521
LCT	0.401674493722767	0.106826335070902	inf	0.418608
GEMIN8	-0.320347175068013	0.0467244622902906	-0.0764981	0.966881
DICER1	0.578144604054632	0.0546287197005174	0.426825	0.776482
AMN1	-0.328831526881312	0.100671847428625	-0.813484	0.735695
KLF16	-0.0590666259657459	0.212992367133035	1.07034	0.526526
SSBP4	0.0910876778672181	0.161000541612346	0.717051	0.639229
HIF3A	0.0591194067490726	0.370924142157369	-0.0764981	0.956863
CAPZA2	-0.529628171763483	0.099908576322594	-0.150499	0.930009
MAPKAP1	-0.0205322605540056	0.373790776289916	-0.0358562	0.973648
UBQLN4	0.188504282932676	0.225356854837761	-0.191975	0.928796
PIAS3	0.183612383539134	0.0644639677685312	0.568021	0.695934
SOCS6	-0.372990490623813	0.0481501357254543	-1.0765	0.452662
LMLN	1.02341671816141	0.0145320049718011	1.39743	0.355513
MRPL24	-0.0730347024170091	0.27684494341999	0.753577	0.689463
GREB1	0.243557106293421	0.166526635376312	0.24543	0.949248
CREG2	0.281387719567743	0.21270041682762	-inf	0.418608
NUP62CL	0.136709498853612	0.309252128253795	inf	0.354469
MOSPD2	-1.26948069082582	0.0116454205006367	-1.84203	0.418608
ADAT2	-0.0820197034977963	0.291852286435239	-1.39843	0.56981
REEP3	0.345615956406455	0.169475272766818	0.272397	0.876643
MARK1	0.303885128602694	0.0661949640030136	0.797974	0.749643
MGST3	-0.356263603833276	0.0121533950099576	inf	0.526526
BDNF	0.0109181823726368	0.329275067912611	1.39299	0.418608
LMBRD1	-0.269421110071048	0.227557938596261	0.714915	0.69412
PRPF19	-0.0908561871575441	0.185513659855798	0.876417	0.526526
NDUFS8	0.0890490809948719	0.14785125879498	0.312713	0.840747
SLC25A16	0.0895359373683169	0.322488423835973	-0.491539	0.876643
EIF2B3	-0.282869143891402	0.0624163599895216	0.24543	0.879405
HSPB3	-0.588654904343267	0.136807063381006	0.923502	0.876643
RPA2	0.558866442978321	0.0127183791597238	0.7671	0.534758
CSF1	-2.7959909140012	0.000794296395542529	-3.57166	0.00505161
MXD4	0.083931542591016	0.281143942827915	0.199136	0.928145
TNFSF10	-0.0800497320935235	0.307055230263623	-0.0764981	0.943122
DTX3L	-0.585799321485067	0.0685004085918092	-1.42442	0.526526
PLA2G4E	0.0386038369112991	0.388985352133314	-1.0765	0.727164
SCIN	0.084108483429927	0.242977159034696	-2.39843	0.41549
MBOAT1	1.09709204108558	0.00870937106795644	inf	0.418608
PPAP2A	-0.707179055068121	0.00674121283108869	-0.339533	0.937242
ULK1	-0.301432128890099	0.129552523380059	-1.52716	0.382788
MRPS11	0.206860578210009	0.0247322675864356	1.01097	0.628622
SLC2A3	-1.26872850053271	0.00459842322575017	-0.463521	0.770054
ARID3A	-0.161358921730868	0.179564182800869	-0.824959	0.584532
FEM1B	0.114319315080272	0.088503953293203	-0.150499	0.938934
GNG5	0.493146594956536	0.0276294318147163	0.220995	0.906388
ACOX1	-0.302575773332059	0.0195607625153451	-0.75457	0.611889
MTHFSD	0.0670515238767866	0.27419554825976	-0.813464	0.581442
TLX2	0.173096971468411	0.268303998965684	2.9235	0.448379
KIF5B	0.336607690466279	0.145223166058234	0.762895	0.526526
POLM	-0.0149451125573037	0.40774823695134	-1.45501	0.418608
UHRF2	0.0795499092675487	0.276574008567372	0.491786	0.783359
NUP153	0.335085592753947	0.19415418451395	0.717051	0.641373
CLPTM1	-0.0720013070979403	0.190859965906223	0.161445	0.922714
LRRC17	0.529720383827479	0.00341240672679821	-inf	0.418608
CENPH	0.546673953503012	0.134392129306431	0.859372	0.577869
TTYH3	0.0767497157871791	0.233213994158159	1.50846	0.355513
ATP5B	-0.0655460801767841	0.255883977517417	-0.232369	0.888782
ZNHIT1	0.00322603669927435	0.408146253828399	0.560935	0.892979
EFHD1	0.30175798837243	0.119009593403099	-inf	0.388575
AMZ2P1	0.115105936001044	0.251133830979168	2.50846	0.418608
COPZ2	0.284545673307062	0.0588047789690182	0.849501	0.532704
ELF3	0.175423353847732	0.262428276289534	-inf	0.0681254
CPSF3L	-0.0274377236640086	0.309276884502384	0.668245	0.526526
POLR2I	-0.0349172394722048	0.217594567212055	0.575585	0.876643
ZNF665	0.0533856927906096	0.333485033833096	-0.661461	0.872522
MYEF2	1.56475521018817	0.0129552665560937	1.74293	0.230528
RAD9A	0.173418003721171	0.201155398610249	-0.183395	0.951953
ANGPTL7	0.442716283944023	0.0916500695152658	inf	0.526526
NDST4	0.294566680957959	0.112989165209185	-inf	0.284835
AGPAT3	0.44220298525101	0.0288569946721553	0.10038	0.948425
MAGI3	0.508611600212391	0.00723536498536837	1.18654	0.526526
CACNG7	0.41650461155988	0.120947981596727	inf	0.401695
TSEN15	-0.775584718515355	0.038505825110765	-2.45501	0.355513
CAMK2D	0.269276315091959	0.162570326251931	0.521403	0.745259
CCDC122	0.304471759801595	0.12310902901714	0.660467	0.939632
FAM135B	0.26032909757142	0.244738940172034	-inf	0.0275774
E2F1	0.916228045559452	0.00157610090283378	2.61538	0.2299
NR0B1	-0.877649513257911	0.00911526365910868	1.0755	0.610186
NPAT	0.558953134946652	0.0483610374702724	-0.317489	0.942828
PLCB3	0.575939615796771	0.00259417813168098	1.9235	0.267859
COIL	0.529718629171576	0.0638808936136986	0.746624	0.628075
HAUS6	0.0684408978637542	0.388302529405587	-0.232617	0.89774
KIF16B	0.0323109356633317	0.290470819904435	1.58647	0.450335
TMEM217	0.437217187709995	0.118980115950291	inf	0.418608
APOB	0.12893279346001	0.279322422408396	0.923502	0.874103
RAB11FIP2	-0.235628877343848	0.0912807018271058	0.277139	0.911544
CDC25C	0.995538216238239	0.0111044566433923	3.50846	0.354992
PIGR	0.285010642582144	0.209659746458517	-inf	0.404729
TSC2	0.283062799500035	0.0218317042138147	0.454017	0.840747
RCOR3	-0.0994282849735898	0.195769964234605	0.667663	0.613298
CCDC108	0.290623269549492	0.0877952513317073	-inf	0.0158296
NRP2	-1.87156555297782	0.00214689298749008	-2.48478	0.0220711
CPSF7	-0.551057144424231	0.0149583451375024	-0.580965	0.695032
FUT6	0.229745355748553	0.277179887499734	-inf	0.0584041
CDH2	0.689682301851743	0.0410180569337471	-0.282949	0.880576
PTPRB	-0.0776475953093606	0.265676852312034	-1.98339	0.355513
ACP2	0.0892156269894992	0.209674654765098	0.408925	0.85082
ACPT	0.126031924762164	0.320895675469458	inf	0.418608
GTF3A	0.770741375522036	0.00635981938065435	0.354135	0.876248
MRPL54	0.0890395176167534	0.279971546641182	0.286072	0.908271
FLNC	0.738969954579811	0.00254484894698944	1.79667	0.196152
AIM1L	0.170582871476405	0.300049552685857	inf	0.0594325
KRAS	-0.20084665168288	0.144300466372675	0.0015045	0.984936
ZRSR2	-0.0084579497993758	0.377471426135811	-1.37195	0.468844
SPTAN1	-0.200509551913811	0.065995359911366	0.249079	0.876643
SIPA1L2	-1.14423032416599	0.00146322035067337	-0.967564	0.506769
RCAN2	0.378453141714623	0.145223166058234	-0.0764981	0.933052
NECAP2	-0.0260083131119725	0.376472246182135	-0.52716	0.736534
ACTR1A	-0.467558740717147	0.00281907739141255	-1.04295	0.418608
PPARG	-1.49536533229745	0.00130839795540028	-1.66146	0.418608
ISOC2	-0.204942246992719	0.137118529094409	0.0912293	0.954116
DSG2	-0.959420108513953	0.00801548250780455	-1.63449	0.403332
BBS10	-0.257925791389982	0.153992992810827	1.10793	0.538601
TMEM44	0.396942643738976	0.0395198325577287	0.418267	0.885519
PRDM4	-0.24767482715087	0.0351750907862646	-0.214002	0.926455
IRF6	0.420748062288251	0.165149673462796	-inf	0.345256
HSPA4	-0.900323214662318	0.0463029689171474	-0.524922	0.69646
SERPINB7	1.15916416074547	0.0163723237876151	1.58061	0.418608
DHX40	-0.75901105897177	0.036492976080514	-0.912999	0.526526
RAB26	0.0690337980320565	0.317865954583222	-inf	0.119093
RRP9	-0.498099756541152	0.00640097251097113	-0.439068	0.868224
EVI5	-0.0518714794255581	0.340159336511183	0.306831	0.876643
CAPN9	0.196597853053574	0.209781033307134	-inf	0.343622
PSMG2	-0.0307407984545874	0.323857939396802	-0.313537	0.93225
LSM10	0.808403033131622	0.0118488773957947	1.7715	0.418608
MYBL2	-0.444086117292427	0.0195607625153451	-1.62904	0.418608
IL31RA	-0.489840119346233	0.0465981080499227	0.0610054	0.965472
ZNF407	0.0644878547568067	0.217515712003041	1.50846	0.526526
PPIG	-0.164142359709147	0.204476946120548	-0.349517	0.833109
C12orf10	-0.134956907932317	0.038994927932929	-0.465062	0.902771
RPSA	1.18397831458423	0.0673339209219636	0.22553	0.889793
NAGA	0.193285054272234	0.0953453381213333	0.841036	0.746716
MRE11A	-0.208659406934994	0.0976339004960964	-0.8541	0.670334
HSPA4L	-0.26649882724225	0.223831136306923	-0.339533	0.888305
C8orf37	-0.385758607508638	0.0280455308862952	0.575579	0.85963
C14orf169	0.198607512277772	0.0435813239490745	0.0490327	0.970175
CENPO	-0.0408553776453331	0.149309724186975	0.338538	0.92544
MGAT5B	0.226355207273471	0.223491691254959	-1.0765	0.707285
KCTD5	-0.228816188588726	0.107954332244542	-1.214	0.44911
ECM1	0.555519880783744	0.013793021700608	1.50846	0.443626
CHRNB4	0.185535795698764	0.205249732935735	inf	0.181005
EPB41L1	-0.0834445313436947	0.0447958895804039	1.86692	0.171083
C1orf21	0.675531830455411	0.0100258806994547	3.14589	0.243935
PARP14	-0.185782905698389	0.195754307449966	-0.284094	0.876643
DYM	0.378794903320436	0.0977373274671677	1.83039	0.387964
TOM1L2	-0.776648218856821	0.00227413679403807	-1.70877	0.294776
TMEM165	-0.259897228441864	0.192205428901699	-0.47861	0.85082
RAB21	-0.152593018344537	0.270911519672128	0.0985888	0.958236
RPS19BP1	0.103204828785017	0.0882623332179473	0.145894	0.9446
FOXJ2	0.206700874135776	0.0585776905089828	0.88286	0.593476
C10orf76	-0.37608280475813	0.0680567197419421	-0.185139	0.916333
CPNE2	0.10226630492739	0.347580583386488	-0.0258721	0.981183
PBRM1	0.696714343786847	0.0381843565651709	1.28922	0.547001
FBXO33	0.0168259307528656	0.322488423835973	0.601574	0.801884
UHMK1	-2.68246479336165	0.00169406674215064	-3.92567	0.0220711
TADA3	-0.20074141854726	0.00939585636960018	-0.521284	0.860884
ZCCHC24	0.260052676485027	0.163480006908639	0.223062	0.930035
RNF20	-0.446509620582731	0.0156001906958457	0.0181387	0.984035
CTF1	0.0581515922515254	0.320530646487445	-inf	0.330039
PIM1	-0.0460079969944655	0.340484443707496	-2.0765	0.444211
USP9X	-0.36886752681079	0.17769481034483	0.0415576	0.966881
EGFL7	0.246390672868736	0.257977405368359	inf	0.243852
IFIT2	-0.195782556529205	0.238882298051978	-2.39832	0.798249
TIGD1	0.014979731092449	0.382123226954393	-inf	0.526526
GUCY1B3	-1.45586371234675	0.00132306753000904	-1.47243	0.385288
NR3C1	-0.209315958397504	0.158054323124012	0.144002	0.931918
NEK7	0.348132487700736	0.146078728759338	0.781483	0.671998
PARP11	-0.464129374305964	0.00674121283108869	0.0389791	0.972122
GPR133	0.0998293162008144	0.289548116673193	-0.0764981	0.956992
DNALI1	0.67668321460526	0.00184885976313904	0.0755907	0.969525
MAP2K6	-0.0651355449300736	0.289096183002308	-1.66146	0.636998
ATHL1	0.143862685114162	0.32505315091203	0.923502	0.7595
FSTL4	0.266338035048955	0.154299124440112	inf	0.0493784
ATP2A1	0.189264809180654	0.214300254609978	-1.0765	0.73289
TMEM171	-0.393789075939963	0.0399524378000161	-0.883853	0.776584
PAXIP1	0.320278509256091	0.0646247869004985	0.376013	0.876643
SERINC2	0.156465184809487	0.221512743196905	-0.0764981	0.94842
YY1	0.357205758250674	0.00466664247779849	0.888737	0.526526
ZC3HAV1	0.256945285647568	0.101185637390315	0.575579	0.722929
C14orf105	0.663523333524933	0.0306673365336994	0.923502	0.712413
SLBP	0.0716799803557746	0.301268477560522	0.831579	0.526526
AASDHPPT	-0.458212176925606	0.0867585984060648	-0.591071	0.790591
CCDC138	0.256211719346718	0.134523548707657	-1.88385	0.418608
UBL4A	0.228362322609488	0.0808284084908409	0.392987	0.872162
MCM3	0.274747237483086	0.0600001695446639	0.918227	0.436895
FAM110A	0.305358515294465	0.0925411662019209	0.923502	0.800279
KAZALD1	0.314685041833105	0.176706649782515	-1.39843	0.580562
